year	name
2023	Godzilla Minus One
2022	Avatar: The Way of Water
2021	Dune
2020	Tenet
2019	1917
2018	First Man
2017	Blade Runner 2049
2016	The Jungle Book
2015	Ex Machina
2014	Interstellar
2013	Gravity
2012	Life of Pi
2011	Hugo
2010	Inception
2009	Avatar
2008	The Curious Case of Benjamin Button
2007	The Golden Compass
2006	Pirates of the Caribbean: Dead Man's Chest
2005	King Kong
2004	Spider-Man 2
2003	The Lord of the Rings: The Return of the King
2002	The Lord of the Rings: The Two Towers
2001	The Lord of the Rings: The Fellowship of the Ring
2000	Gladiator
1999	The Matrix
1998	What Dreams May Come
1997	Titanic
1996	Independence Day
1995	Babe
1994	Forrest Gump
1993	Jurassic Park
1992	Death Becomes Her
1991	Terminator 2: Judgment Day
1990	Total Recall
1989	The Abyss
1988	Who Framed Roger Rabbit
1987	Innerspace
1986	Aliens
1985	Cocoon
1984	Indiana Jones and the Temple of Doom
1983	Return of the Jedi
1982	E.T. the Extra-Terrestrial
1981	Raiders of the Lost Ark
1980	The Empire Strikes Back
1979	Alien
1978	Superman
1977	Star Wars
1976	Logan's Run
1975	The Hindenburg
1974	Earthquake
1973	The Poseidon Adventure
1972	Bedknobs and Broomsticks
1971	Tora! Tora! Tora!
1970	Marooned
1969	2001: A Space Odyssey
1968	Doctor Dolittle
1967	Fantastic Voyage
1966	Thunderball
1965	Mary Poppins
1964	Cleopatra
1963	The Longest Day
1962	The Guns of Navarone
1961	The Time Machine
1960	Ben-Hur
1959	Tom Thumb
1958	The Enemy Below
1957	The Ten Commandments
1956	The Bridges at Toko-Ri
1955	20,000 Leagues Under the Sea
1954	The War of the Worlds
1953	Plymouth Adventure
1952	When Worlds Collide
1951	Destination Moon
1950	Mighty Joe Young
1949	Portrait of Jennie
1948	Green Dolphin Street
1947	Blithe Spirit
1946	Wonder Man
1945	Thirty Seconds Over Tokyo
1944	Crash Dive
1943	Reap the Wild Wind
1942	I Wanted Wings
1941	The Thief of Bagdad
1940	The Rains Came
1939	Spawn of the North
